config_id,nbhd_median,nbhd_min,nbhd_frac_positive,passes,n_failed,sharpe,sharpe_gross,ann_return,ann_vol,sortino,max_drawdown,calmar,nw_tstat,hit_rate,avg_win,avg_loss,profit_factor,mean_trade,n_entries,entries_per_month,pct_months_with_entry,pct_days_in_market,avg_holding_days,turnover_per_year,pct_years_positive,worst_year,rolling12m_sharpe_min,rolling12m_pct_positive,sharpe_first_half,sharpe_second_half,long_leg_pnl,short_leg_pnl,ann_return_ex_top1pct_days,top10_trades_pnl_share,corr_GDX,beta_GDX,corr_SPY,beta_SPY,corr_GLD,beta_GLD
GLD|L250|m3|k1.5|H1|A|rev,0.6594665858816837,0.21590665376341317,1.0,False,2,0.7486371770470999,0.7782740924223975,0.15755737271930045,0.2104589212905037,1.3178726263020861,-0.18360272102384445,0.8581429068191125,2.2906064051712214,0.5829596412556054,0.029303619723629968,-0.02639572262601954,1.5518442005320823,0.0060747460083052825,223,2.1650485436893203,0.6213592233009708,0.10290724503922473,1.0,31.51453622519612,0.8888888888888888,-0.007788266509874908,-1.2558794648366869,0.8470772442588727,0.7052504358034726,0.8413653502221891,0.09858864902135787,0.06527163094298162,-0.05415570864189745,0.8842091481881764,0.08866174686589065,0.04001383330020286,0.05697474814153809,0.057371614141519166,-0.0011984368000600737,-0.0012784417986513056
SPY+GLD+TLT|L250|m2|k1.5|H1|A|rev,0.6578910785704658,-0.33879790266138565,0.9166666666666666,False,2,0.7854957993442492,0.8309767619492398,0.15456044930503704,0.19676801509832115,1.3177934963136868,-0.2764819269933243,0.5590255066066901,2.4273184875787135,0.5480427046263345,0.027046251672489592,-0.022332484728845192,1.4685442566620506,0.004729171519573158,281,2.7281553398058254,0.7378640776699029,0.12967235809875405,1.0,44.77157360406091,0.7777777777777778,-0.15971306556990786,-2.0128880331784456,0.7839248434237995,0.514007049062671,1.0909070846147395,0.10430379043872462,0.05921097358712414,-0.03679592611899197,0.7466497634846462,-0.008767582820870154,-0.003699481981166524,-0.06715421594356678,-0.06322300037292038,-0.04882004439980925,-0.04869127644987078
SPY+GLD+TLT|L250|m3|k1.5|H1|A|rev,0.6578910785704658,0.028071396607492322,1.0,False,2,0.6617751126220642,0.6949741001907369,0.12657898424614453,0.1912719016353113,1.0909595228651743,-0.2475787242453176,0.5112676165207216,2.02177095598802,0.5439330543933054,0.028118485436168718,-0.02355159909813211,1.4239291429271188,0.004553467803370433,239,2.320388349514563,0.6796116504854369,0.11029072450392248,1.0,31.97969543147208,0.7777777777777778,-0.008759557003394168,-1.4588660493747525,0.865866388308977,0.5575569152538449,0.8102627207483211,0.08896728742482385,0.04400763590761469,-0.06556640293067544,0.936321237980874,0.00038985962986631356,0.000159906448017424,-0.016496505894080166,-0.015096993113232995,-0.035441999863617416,-0.034361165025471256
GLD|L250|m3|k2|H1|A|rev,0.6489080555232668,0.21590665376341317,1.0,False,3,0.8539263405902373,0.8759158845868878,0.11942724563825996,0.1398566128733204,1.557661976363848,-0.16381026653767145,0.72905836833368,2.742029071308168,0.6310679611650486,0.03133813837265307,-0.026584196454255256,2.0164126633097705,0.00996873329088107,103,1.0,0.4077669902912621,0.047531149053991695,1.0,15.699123211813566,0.8888888888888888,-0.00423259327197776,,0.8914405010438413,0.5480506828256312,1.253816890142273,0.0639580747996785,0.05860899548094403,-0.03508464992153077,0.7774673510563288,0.12389683665140552,0.0371577799725497,0.08955435933653207,0.059926243151369386,0.014990284277807134,0.010626527245261214
SPY+GLD+TLT|L250|m1|k1.25|H1|B|rev,0.6432977776925548,-0.1799601241855122,0.9583333333333334,False,3,0.08547783941522627,0.16032556940597492,0.020331874539718714,0.23786135305728115,0.12318656117803684,-0.5449479539145416,0.03730975480074404,0.2526564800999945,0.5114155251141552,0.024382831252658516,-0.024706150541879867,1.0330308579383913,0.00039871685989318457,438,4.252427184466019,0.9029126213592233,0.2021227503461006,1.0,88.96169820027687,0.3333333333333333,-0.1843021207296105,-1.4215500289743093,0.4311064718162839,0.14301315035318574,0.027159452681543964,0.03622082185116674,0.001903392328607189,-0.17482528242325845,5.717306038239227,-0.01614574858379385,-0.008235474089919512,0.007121050939146521,0.008104295951882189,-0.051368941084829124,-0.06193312347768985
SPY+GLD+TLT|L250|m2|k1.25|H1|B|rev,0.6432977776925548,-0.1799601241855122,0.9722222222222222,False,2,0.9332691400916978,0.9845637174286825,0.2269658269092254,0.24319439822785208,1.5634384104884145,-0.2716759841300674,0.835428378536998,2.8019033663504316,0.5513126491646778,0.026989276644231182,-0.02278189853726982,1.4556449640242533,0.004657579904082763,419,4.067961165048544,0.9223300970873787,0.19335486848177202,1.0,62.4476234425473,0.8888888888888888,-0.00972572159327228,-0.4807008878026964,0.9050104384133612,0.8180398326040982,1.0725178217855578,0.16430937646613214,0.07514597513160243,-0.005190563428886859,0.6030074610694722,0.02931598456400351,0.015288489739507536,-0.08597237239081434,-0.10003680047317183,0.009036172161908987,0.011138752365540145
SPY+GLD|L250|m2|k1.25|H1|A|rev,0.6414115302308274,-0.25852414134826895,0.9722222222222222,False,2,0.8019360728730482,0.8558827672576023,0.18499783120885058,0.23068900061580963,1.301706253613728,-0.2716759841300674,0.6809502569806876,2.457126045519661,0.5434782608695652,0.025826641002180822,-0.0223299455067203,1.376895486996117,0.0038421123785520473,414,4.019417475728155,0.912621359223301,0.19104753114905398,1.0,62.21504383940932,1.0,0.00596508721841394,-1.0824960049676604,0.9321503131524008,0.498095306386458,1.1205426093158797,0.13121343418949227,0.06622740578723955,-0.02674140133507828,0.6580328309874347,0.011884806838980863,0.005879299033622878,-0.07053606327191696,-0.07785480471461428,0.0012292834744312444,0.0014373992568571924
GLD|L250|m1|k1.25|H2|A|rev,0.640711661748081,-0.10657215251632518,0.9166666666666666,False,1,0.9580382764825178,1.0016789621263071,0.2983029138714555,0.311368471588305,1.6067341662753492,-0.6199966411436355,0.4811363386117882,2.7570357421164498,0.5484848484848485,0.03867595430645859,-0.03004237076511847,1.563864579595283,0.007648589349898036,330,3.203883495145631,0.9029126213592233,0.3041070604522381,2.0,67.79695431472081,0.8888888888888888,-0.06662062180929926,-0.65587866105619,0.9269311064718163,0.9238724852670067,1.008547631203153,0.2133985887356432,0.09846371599875688,0.014548947853488321,0.7283932164598428,0.025384881896129276,0.01694947757414318,0.03202817441430214,0.04771491279620619,-0.06132921141509987,-0.09679223104259597
GLD|L250|m1|k1|H2|A|rev,0.6347339180670073,-0.10657215251632518,0.9444444444444444,False,3,0.49738812577868596,0.5492627616984084,0.16967147983634673,0.34112491039209586,0.7794631767366279,-0.5786646997589598,0.29321207930434084,1.4841766450063976,0.5223214285714286,0.03348840414952897,-0.029991496868157264,1.220951448594073,0.0031654157169734923,448,4.349514563106796,0.970873786407767,0.41301338255652975,2.0,88.26395939086294,0.6666666666666666,-0.28162237253240446,-1.2182742935970539,0.5782881002087683,0.6723145223310394,0.3013502917329799,0.1458357210916099,0.041488550622908876,-0.11453771439858702,1.2599096167635258,-0.0017906357286594282,-0.001309867042436722,0.0025755246379262947,0.004203649119392798,-0.06598291333625414,-0.11408890362070562
GLD|L250|m2|k1.25|H2|A|rev,0.6284640152311478,-0.10657215251632518,0.9444444444444444,False,1,1.1615813042273482,1.2003337946404098,0.3556574654026949,0.3061838754707476,2.110810066224478,-0.3393752989895342,1.0479768753401901,3.3120280455260414,0.5559440559440559,0.04170535439744471,-0.02845600976412629,1.8348950040408003,0.010549783598425415,286,2.7766990291262137,0.8737864077669902,0.26349792339640055,2.0,59.88924780802953,1.0,0.08850962162612694,-1.319155274616862,0.9008350730688935,1.180732061299997,1.1602398217392444,0.19413106676899058,0.1735042481953103,0.05827593191125829,0.6223645379581404,0.014683390248329984,0.009640847025745431,-0.02875206978001376,-0.04212100688544359,-0.024611442345845863,-0.038195998442013074
