k,side,h,n,mean,se,period
0.5,short,3,377,0.00033656176603820496,0.0019804617000524502,validation
0.5,short,4,377,0.0030524036355879165,0.0020425965211054256,validation
0.5,short,5,377,0.003927629784659839,0.0021448177184991667,validation
0.5,short,6,377,0.004469246655237805,0.002424063086443443,validation
0.5,short,7,377,0.002786791282538837,0.0027911985821731417,validation
0.5,short,8,377,0.0028839822654026324,0.002886559660833685,validation
0.5,short,9,377,0.004408371577028806,0.002959919706914993,validation
0.5,short,10,377,0.003980821312749516,0.0030270451320041384,validation
0.5,edge,1,765,0.000622039119414846,0.0008418158867715373,validation
0.5,edge,2,765,0.0005570531420330347,0.0011847430680092727,validation
0.5,edge,3,765,0.00022056365417461897,0.0014054112443546542,validation
0.5,edge,4,765,-0.00162123174422622,0.001575298971875434,validation
0.5,edge,5,765,-0.0017891847554808837,0.0016852999154144664,validation
0.5,edge,6,765,-0.0017868294483177835,0.0018236404784417676,validation
0.5,edge,7,765,-0.0005250671632709905,0.0019685325660305664,validation
0.5,edge,8,765,-0.0006740621482446303,0.0020958249167767275,validation
0.5,edge,9,765,-0.0009460008904310732,0.0021818536548071114,validation
0.5,edge,10,765,-0.000223027990705059,0.002230133228385114,validation
0.75,long,1,295,0.0004935025644155627,0.0014688086076948853,validation
0.75,long,2,295,0.0012059941094673997,0.0022652176495069694,validation
0.75,long,3,295,0.0019147752087358754,0.0023749974419407954,validation
0.75,long,4,295,0.00043610325459176604,0.0027825033519558477,validation
0.75,long,5,295,0.0014010097260686901,0.002836198377677077,validation
0.75,long,6,295,0.0022484963031481025,0.003139114307975857,validation
0.75,long,7,295,0.003113981786655064,0.003256060988572343,validation
0.75,long,8,295,0.00424997663871193,0.0033052003702006543,validation
0.75,long,9,295,0.003332092832978194,0.003657889223494554,validation
0.75,long,10,295,0.003939952665639001,0.0037634100140483593,validation
0.75,short,1,288,-0.001993846350160762,0.0013798907273880057,validation
0.75,short,2,288,-0.0013035084506499313,0.0017232891252360893,validation
0.75,short,3,288,0.00041666269310126246,0.002387311927503998,validation
0.75,short,4,288,0.0033978037093726652,0.00234329162351624,validation
0.75,short,5,288,0.004255730239418758,0.0023883087074143047,validation
0.75,short,6,288,0.0037723069069230445,0.0027770408215087037,validation
0.75,short,7,288,0.0018909069424785914,0.0031960281339778493,validation
0.75,short,8,288,0.0014212731512221648,0.003207826014298313,validation
0.75,short,9,288,0.002979086325544102,0.0033009988455217133,validation
0.75,short,10,288,0.0027587109252139416,0.0033999887032237584,validation
0.75,edge,1,583,0.0012346672475967246,0.0010080990819384037,validation
0.75,edge,2,583,0.0012541658594855288,0.0014265437953716166,validation
0.75,edge,3,583,0.0007630528833000343,0.00168299987188384,validation
0.75,edge,4,583,-0.001457833633267164,0.0018228979890723932,validation
0.75,edge,5,583,-0.0013934004112561556,0.0018599440779032733,validation
0.75,edge,6,583,-0.0007257598280705773,0.0021007180165412563,validation
0.75,edge,7,583,0.0006415839238926411,0.0022823289914219486,validation
